SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,20,AODV,7.5
1,0,0,20,AODV,7.5
2,0,0,20,AODV,7.5
3,0,0,20,AODV,7.5
4,0,0,20,AODV,7.5
5,0,0,20,AODV,7.5
6,0,0,20,AODV,7.5
7,0,0,20,AODV,7.5
8,0,0,20,AODV,7.5
9,0,0,20,AODV,7.5
10,0,0,20,AODV,7.5
11,0,0,20,AODV,7.5
12,0,0,20,AODV,7.5
13,0,0,20,AODV,7.5
14,0,0,20,AODV,7.5
15,0,0,20,AODV,7.5
16,0,0,20,AODV,7.5
17,0,0,20,AODV,7.5
18,0,0,20,AODV,7.5
19,0,0,20,AODV,7.5
20,0,0,20,AODV,7.5
21,0,0,20,AODV,7.5
22,0,0,20,AODV,7.5
23,0,0,20,AODV,7.5
24,0,0,20,AODV,7.5
25,0,0,20,AODV,7.5
26,0,0,20,AODV,7.5
27,0,0,20,AODV,7.5
28,0,0,20,AODV,7.5
29,0,0,20,AODV,7.5
30,0,0,20,AODV,7.5
31,0,0,20,AODV,7.5
32,0,0,20,AODV,7.5
33,0,0,20,AODV,7.5
34,0,0,20,AODV,7.5
35,0,0,20,AODV,7.5
36,0,0,20,AODV,7.5
37,0,0,20,AODV,7.5
38,0,0,20,AODV,7.5
39,0,0,20,AODV,7.5
40,0,0,20,AODV,7.5
41,0,0,20,AODV,7.5
42,0,0,20,AODV,7.5
43,0,0,20,AODV,7.5
44,0,0,20,AODV,7.5
45,0,0,20,AODV,7.5
46,0,0,20,AODV,7.5
47,0,0,20,AODV,7.5
48,0,0,20,AODV,7.5
49,0,0,20,AODV,7.5
50,0,0,20,AODV,7.5
51,0,0,20,AODV,7.5
52,0,0,20,AODV,7.5
53,0,0,20,AODV,7.5
54,0,0,20,AODV,7.5
55,0,0,20,AODV,7.5
56,0,0,20,AODV,7.5
57,0,0,20,AODV,7.5
58,0,0,20,AODV,7.5
59,0,0,20,AODV,7.5
60,0,0,20,AODV,7.5
61,0,0,20,AODV,7.5
62,0,0,20,AODV,7.5
63,0,0,20,AODV,7.5
64,0,0,20,AODV,7.5
65,0,0,20,AODV,7.5
66,0,0,20,AODV,7.5
67,0,0,20,AODV,7.5
68,0,0,20,AODV,7.5
69,0,0,20,AODV,7.5
70,0,0,20,AODV,7.5
71,0,0,20,AODV,7.5
72,0,0,20,AODV,7.5
73,0,0,20,AODV,7.5
74,0,0,20,AODV,7.5
75,0,0,20,AODV,7.5
76,0,0,20,AODV,7.5
77,0,0,20,AODV,7.5
78,0,0,20,AODV,7.5
79,0,0,20,AODV,7.5
80,0,0,20,AODV,7.5
81,0,0,20,AODV,7.5
82,0,0,20,AODV,7.5
83,0,0,20,AODV,7.5
84,0,0,20,AODV,7.5
85,0,0,20,AODV,7.5
86,0,0,20,AODV,7.5
87,0,0,20,AODV,7.5
88,0,0,20,AODV,7.5
89,0,0,20,AODV,7.5
90,0,0,20,AODV,7.5
91,0,0,20,AODV,7.5
92,0,0,20,AODV,7.5
93,0,0,20,AODV,7.5
94,0,0,20,AODV,7.5
95,0,0,20,AODV,7.5
96,0,0,20,AODV,7.5
97,0,0,20,AODV,7.5
98,0,0,20,AODV,7.5
99,0,0,20,AODV,7.5
100,0,0,20,AODV,7.5
101,8.704,17,20,AODV,7.5
102,33.28,65,20,AODV,7.5
103,32.256,63,20,AODV,7.5
104,38.912,76,20,AODV,7.5
105,36.352,71,20,AODV,7.5
106,36.864,72,20,AODV,7.5
107,36.864,72,20,AODV,7.5
108,34.816,68,20,AODV,7.5
109,34.816,68,20,AODV,7.5
110,36.864,72,20,AODV,7.5
111,36.352,71,20,AODV,7.5
112,35.328,69,20,AODV,7.5
113,34.304,67,20,AODV,7.5
114,33.792,66,20,AODV,7.5
115,36.864,72,20,AODV,7.5
116,34.304,67,20,AODV,7.5
117,37.888,74,20,AODV,7.5
118,34.304,67,20,AODV,7.5
119,32.768,64,20,AODV,7.5
120,34.816,68,20,AODV,7.5
121,36.864,72,20,AODV,7.5
122,40.96,80,20,AODV,7.5
123,40.96,80,20,AODV,7.5
124,34.816,68,20,AODV,7.5
125,36.352,71,20,AODV,7.5
126,36.352,71,20,AODV,7.5
127,37.376,73,20,AODV,7.5
128,36.352,71,20,AODV,7.5
129,36.352,71,20,AODV,7.5
130,35.328,69,20,AODV,7.5
131,37.888,74,20,AODV,7.5
132,33.28,65,20,AODV,7.5
133,35.84,70,20,AODV,7.5
134,35.84,70,20,AODV,7.5
135,33.792,66,20,AODV,7.5
136,35.328,69,20,AODV,7.5
137,35.328,69,20,AODV,7.5
138,35.328,69,20,AODV,7.5
139,32.768,64,20,AODV,7.5
140,34.304,67,20,AODV,7.5
141,35.328,69,20,AODV,7.5
142,33.28,65,20,AODV,7.5
143,31.232,61,20,AODV,7.5
144,33.792,66,20,AODV,7.5
145,32.768,64,20,AODV,7.5
146,32.768,64,20,AODV,7.5
147,32.768,64,20,AODV,7.5
148,32.768,64,20,AODV,7.5
149,32.768,64,20,AODV,7.5
150,32.768,64,20,AODV,7.5
151,32.768,64,20,AODV,7.5
152,34.816,68,20,AODV,7.5
153,33.792,66,20,AODV,7.5
154,34.816,68,20,AODV,7.5
155,35.84,70,20,AODV,7.5
156,36.352,71,20,AODV,7.5
157,34.816,68,20,AODV,7.5
158,35.328,69,20,AODV,7.5
159,35.84,70,20,AODV,7.5
160,36.864,72,20,AODV,7.5
161,41.472,81,20,AODV,7.5
162,35.84,70,20,AODV,7.5
163,34.816,68,20,AODV,7.5
164,35.328,69,20,AODV,7.5
165,36.864,72,20,AODV,7.5
166,36.864,72,20,AODV,7.5
167,34.816,68,20,AODV,7.5
168,34.304,67,20,AODV,7.5
169,32.256,63,20,AODV,7.5
170,32.768,64,20,AODV,7.5
171,32.768,64,20,AODV,7.5
172,32.256,63,20,AODV,7.5
173,32.768,64,20,AODV,7.5
174,32.256,63,20,AODV,7.5
175,32.768,64,20,AODV,7.5
176,33.28,65,20,AODV,7.5
177,38.4,75,20,AODV,7.5
178,38.4,75,20,AODV,7.5
179,38.4,75,20,AODV,7.5
180,38.4,75,20,AODV,7.5
181,38.4,75,20,AODV,7.5
182,38.912,76,20,AODV,7.5
183,36.864,72,20,AODV,7.5
184,36.864,72,20,AODV,7.5
185,34.816,68,20,AODV,7.5
186,35.84,70,20,AODV,7.5
187,30.72,60,20,AODV,7.5
188,36.352,71,20,AODV,7.5
189,34.816,68,20,AODV,7.5
190,35.84,70,20,AODV,7.5
191,35.328,69,20,AODV,7.5
192,35.84,70,20,AODV,7.5
193,37.376,73,20,AODV,7.5
194,36.864,72,20,AODV,7.5
195,36.864,72,20,AODV,7.5
196,36.864,72,20,AODV,7.5
197,34.816,68,20,AODV,7.5
198,34.304,67,20,AODV,7.5
199,35.328,69,20,AODV,7.5
